;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P529077186;0;1;0;0;0;0
P533651223;1;0;0;0;0;0
P53597286295;0;0;0;0;0;1
P53618806814;0;1;0;0;0;0
P53621211227;0;1;0;0;0;0
P53621392412;0;1;0;0;0;0
P538145971;1;0;0;0;0;0
P54105169187;0;1;0;0;0;0
P54577389400;0;1;0;0;0;0
P54652223239P11142220236;1;0;0;0;0;0
P54652432450;0;1;0;0;0;0
P54652615639;0;0;0;0;0;1
P54725258275;1;0;0;0;0;0
P54727191204;0;1;0;0;0;0
P548025974;0;0;0;1;0;0
P54886354371;0;1;0;0;0;0
P550115871;0;0;0;0;1;0
P55011855864;0;1;0;0;0;0
